,Marque,Model,Marque_Model,Prix,Mise_en_circulation,Puissance_fiscale,Kilometrage,Carburant,Boite_Vitesse,Gouvernorat
3415,Citroen,C4,Citroen C4,29500,2012,6,117777,Essence,Manuelle,kairouan
3416,Renault,Megane,Renault Megane,25500,2009,6,260000,Diesel,Manuelle,bizerte
3417,Renault,CAPTUR,Renault CAPTUR,51000,2016,6,9450,Essence,Manuelle,mahdia
3418,Volkswagen,Golf7,Volkswagen Golf7,94000,2017,6,96000,Essence,Manuelle,manouba
3419,Renault,Megane,Renault Megane,43500,2015,6,105000,Diesel,Manuelle,monastir
3420,BMW,SÉRIE1,BMW SÉRIE1,49000,2014,6,155000,Diesel,Manuelle,gafsa
3421,Kia,RIO5P,Kia RIO5P,41500,2013,6,111000,Essence,Automatique,monastir
3422,Citroen,C4,Citroen C4,29900,2011,6,182000,Essence,Manuelle,monastir
3423,GREAT,WALLM4,GREAT WALLM4,37000,2017,6,97000,Essence,Manuelle,medenine
3424,Mazda,2,Mazda 2,31800,2015,6,100000,Essence,Manuelle,bizerte
3425,Nissan,Qashqai,Nissan Qashqai,68000,2017,6,86000,Essence,Automatique,kairouan
3426,Volkswagen,Passat,Volkswagen Passat,85000,2017,6,159000,Diesel,Automatique,gafsa
3427,GEELY,GC6,GEELY GC6,36000,2020,6,38000,Essence,Manuelle,bizerte
3428,Toyota,YARISSEDAN,Toyota YARISSEDAN,27000,2021,6,6500,Essence,Manuelle,sidi-bouzid
3429,Mazda,3SEDAN,Mazda 3SEDAN,42500,2014,6,110600,Essence,Manuelle,gabes
3430,Ford,Focus,Ford Focus,38000,2015,6,170000,Essence,Manuelle,manouba
3431,Volkswagen,Golf5,Volkswagen Golf5,24000,2016,6,100000,Essence,Manuelle,bizerte
3432,Citroen,C4,Citroen C4,38500,2014,6,150000,Diesel,Manuelle,monastir
3433,Seat,Leon,Seat Leon,47000,2014,6,134000,Essence,Automatique,mahdia
3434,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,36500,2016,6,279000,Diesel,Manuelle,bizerte
3435,Nissan,Qashqai,Nissan Qashqai,47000,2011,6,276500,Diesel,Manuelle,medenine
3436,MERCEDES-BENZ,ClasseB,MERCEDES-BENZ ClasseB,20000,2007,6,194000,Essence,Manuelle,kairouan
3437,GREAT,WALLM4,GREAT WALLM4,37000,2018,6,40500,Essence,Manuelle,manouba
3438,Seat,ARONA,Seat ARONA,78000,2021,6,18000,Essence,Automatique,bizerte
3439,Renault,Clio,Renault Clio,11900,1997,6,18000,Diesel,Manuelle,bizerte
3440,Citroen,C4,Citroen C4,28400,2013,6,223000,Essence,Manuelle,monastir
